무게,단가,날짜
0,0,2010-01-01
0,0,2010-01-02
0,0,2010-01-03
0,0,2010-01-04
209232,4340.142857,2010-01-05
181512,4314,2010-01-06
63648,4728.142857,2010-01-07
60354,5489.428571,2010-01-08
30114,5945.285714,2010-01-09
0,0,2010-01-10
452166,2347.428571,2010-01-11
294138,2333.857143,2010-01-12
53463,2128.428571,2010-01-13
13302,3651,2010-01-14
54,873,2010-01-15
231912,3981,2010-01-16
0,0,2010-01-17
134838,2845.857143,2010-01-18
160074,2528.857143,2010-01-19
0,0,2010-01-20
75528,2029.714286,2010-01-21
60624,2152.428571,2010-01-22
0,0,2010-01-23
0,0,2010-01-24
166986,3875.285714,2010-01-25
386946,2889.714286,2010-01-26
149310,2127.428571,2010-01-27
843642,1673,2010-01-28
9900,2745.285714,2010-01-29
38574,2342,2010-01-30
0,0,2010-01-31
86670,2807.571429,2010-02-01
20232,3112.571429,2010-02-02
13086,3489.285714,2010-02-03
16650,4223.571429,2010-02-04
121566,4697.571429,2010-02-05
363510,2918.714286,2010-02-06
229122,2067.142857,2010-02-07
128538,1894.285714,2010-02-08
48636,2385.428571,2010-02-09
69606,1802.714286,2010-02-10
39009,2125.714286,2010-02-11
1116,270.4285714,2010-02-12
0,0,2010-02-13
0,0,2010-02-14
0,0,2010-02-15
0,0,2010-02-16
0,0,2010-02-17
0,0,2010-02-18
70920,2408.285714,2010-02-19
51750,2711.428571,2010-02-20
0,0,2010-02-21
474858,3980.142857,2010-02-22
728550,3463.857143,2010-02-23
74466,3839,2010-02-24
19980,2550.714286,2010-02-25
2214,2100.857143,2010-02-26
35820,3076.857143,2010-02-27
0,0,2010-02-28
0,0,2010-03-01
1386,406.1428571,2010-03-02
0,0,2010-03-03
1800,277.7142857,2010-03-04
72,1071.428571,2010-03-05
35604,5398.714286,2010-03-06
0,0,2010-03-07
24984,3142.714286,2010-03-08
7020,2549.428571,2010-03-09
288,253.4285714,2010-03-10
36,515.8571429,2010-03-11
6156,3283.285714,2010-03-12
15138,3608.285714,2010-03-13
0,0,2010-03-14
115542,2420.285714,2010-03-15
130302,3423.428571,2010-03-16
61722,2710.285714,2010-03-17
22068,4015.285714,2010-03-18
11412,2980.571429,2010-03-19
25038,5137.714286,2010-03-20
0,0,2010-03-21
7668,5981.714286,2010-03-22
55674,5493.857143,2010-03-23
0,0,2010-03-24
42192,2745.428571,2010-03-25
256,902,2010-03-26
27504,5151.857143,2010-03-27
0,0,2010-03-28
67230,4566,2010-03-29
23061,3616,2010-03-30
252,477.4285714,2010-03-31
0,0,2010-04-01
0,0,2010-04-02
0,0,2010-04-03
0,0,2010-04-04
49536,3457,2010-04-05
33066,3511.857143,2010-04-06
27900,3716.285714,2010-04-07
9432,3783.428571,2010-04-08
18144,5620.857143,2010-04-09
35028,3502.142857,2010-04-10
0,0,2010-04-11
20160,4343.857143,2010-04-12
8208,3391.714286,2010-04-13
0,0,2010-04-14
7110,285.7142857,2010-04-15
4878,4810.571429,2010-04-16
32688,6408.714286,2010-04-17
0,0,2010-04-18
67914,3996.285714,2010-04-19
22176,3275.285714,2010-04-20
8460,3965.714286,2010-04-21
15048,3896.428571,2010-04-22
1368,156.8571429,2010-04-23
918,5008,2010-04-24
0,0,2010-04-25
8136,4691.571429,2010-04-26
69228,5988.571429,2010-04-27
10962,3814.857143,2010-04-28
0,0,2010-04-29
0,0,2010-04-30
0,0,2010-05-01
0,0,2010-05-02
16317,3223.714286,2010-05-03
12327,3921,2010-05-04
0,0,2010-05-05
12654,3820.857143,2010-05-06
0,0,2010-05-07
2682,174.5714286,2010-05-08
0,0,2010-05-09
64737,2912.571429,2010-05-10
9504,3480.428571,2010-05-11
50643,2640.142857,2010-05-12
0,0,2010-05-13
4374,3702.714286,2010-05-14
903,4188.714286,2010-05-15
0,0,2010-05-16
0,0,2010-05-17
8208,4673.285714,2010-05-18
1494,206.2857143,2010-05-19
19689,4212.428571,2010-05-20
189,884.4285714,2010-05-21
0,0,2010-05-22
0,0,2010-05-23
154422,2300.857143,2010-05-24
14364,3201,2010-05-25
22734,3445.571429,2010-05-26
8856,3536.857143,2010-05-27
22881,3736.714286,2010-05-28
0,0,2010-05-29
0,0,2010-05-30
540,222.2857143,2010-05-31
72,103.1428571,2010-06-01
0,0,2010-06-02
272466,1799.285714,2010-06-03
71199,2188,2010-06-04
103464,2097.142857,2010-06-05
0,0,2010-06-06
0,0,2010-06-07
135534,2449.142857,2010-06-08
42408,1998,2010-06-09
17826,2923.142857,2010-06-10
58116,2558.142857,2010-06-11
29184,2962.714286,2010-06-12
0,0,2010-06-13
154836,2302.428571,2010-06-14
41868,2541.857143,2010-06-15
7188,3709,2010-06-16
23274,3136.857143,2010-06-17
6912,3125.428571,2010-06-18
10281,3141.142857,2010-06-19
0,0,2010-06-20
